gemma2:9b [one-shot] sample 1: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 2: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 3: 3 attempt(s), PASS
gemma2:9b [one-shot] sample 4: 5 attempt(s), FAIL
gemma2:9b [one-shot] sample 5: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 6: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 7: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 8: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 9: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 10: 2 attempt(s), PASS
gemma2:9b [one-shot] sample 11: 5 attempt(s), FAIL
gemma2:9b [one-shot] sample 12: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 13: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 14: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 15: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 16: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 17: 5 attempt(s), FAIL
gemma2:9b [one-shot] sample 18: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 19: 1 attempt(s), PASS
gemma2:9b [one-shot] sample 20: 2 attempt(s), PASS
